gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,176,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4877,8,8.4298,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0214,76.62,745.36
gfx950,256,184,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4868,7,8.4823,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0204,79.61,754.75
gfx950,256,192,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5831,7,9.1283,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0205,77.19,714.35
gfx950,256,200,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6522,8,8.6755,flydsl_gemm6_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0203,84.61,765.33
gfx950,256,208,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4877,8,8.7514,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0218,87.23,772.27
gfx950,256,216,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4877,8,8.8115,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0218,89.96,780.48
gfx950,256,224,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5837,8,8.8795,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0215,92.58,787.88
gfx950,256,232,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7278,7,9.2505,flydsl_gemm8_abf16_wbf16_bf16_t32x64x64_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0199,92.04,769.12
gfx950,256,240,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7278,7,9.3691,flydsl_gemm8_abf16_wbf16_bf16_t32x64x64_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0208,94.01,772.06
gfx950,256,248,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5828,7,9.4181,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0213,96.64,780.66
gfx950,256,256,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7278,7,9.8123,flydsl_gemm8_abf16_wbf16_bf16_t32x64x64_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0207,95.75,761.4
gfx950,256,264,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4868,7,9.5243,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0208,101.73,796.9
gfx950,256,272,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5828,7,9.6634,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0202,103.3,797.72
gfx950,256,280,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5873,7,10.1966,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0211,100.78,767.65
gfx950,256,288,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6558,7,10.1691,flydsl_gemm6_abf16_wbf16_bf16_t32x64x64_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0207,103.94,781.41
gfx950,256,296,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4861,4,10.5735,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp2_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0214,102.74,762.76
gfx950,256,304,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4858,4,10.6935,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0217,104.33,765.31
gfx950,256,312,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4859,4,10.9487,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0135,104.58,758.32
gfx950,256,320,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,10.6122,auto,0.0,110.67,793.56
gfx950,256,328,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4862,4,10.7599,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0135,111.88,793.7
gfx950,256,336,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4859,4,11.0335,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0131,111.76,784.79
gfx950,256,344,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4859,4,11.0895,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0134,113.85,791.54
gfx950,256,352,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4859,4,11.2311,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0135,115.02,792.13
gfx950,256,360,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4859,4,11.0799,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0132,119.24,813.66
gfx950,256,368,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4859,4,11.1435,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0136,121.2,819.68
gfx950,256,376,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4859,4,11.3643,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0138,121.43,814.2
gfx950,256,384,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4862,4,11.5491,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0133,122.03,811.46
gfx950,256,392,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4859,4,11.1152,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0138,129.43,853.82
gfx950,256,400,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4859,4,11.6555,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0136,125.95,824.44
gfx950,256,408,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4859,4,11.6711,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0137,128.3,833.51
gfx950,256,416,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6548,4,11.648,flydsl_gemm6_abf16_wbf16_bf16_t32x64x64_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0207,131.07,845.36
gfx950,256,424,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4858,4,11.3838,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0217,136.69,875.42
gfx950,256,432,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6503,4,11.6244,flydsl_gemm6_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0221,136.39,867.52
gfx950,256,440,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5818,4,11.6523,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0214,138.58,875.63
gfx950,256,448,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,10.9213,auto,0.0,150.55,945.12
gfx950,256,456,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4859,4,11.6136,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0138,144.1,899.01
gfx950,256,464,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6503,4,11.8857,flydsl_gemm6_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0217,143.27,888.42
gfx950,256,472,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4859,4,12.054,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0139,143.71,885.87
gfx950,256,480,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4858,4,11.9563,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0217,147.34,903.04
gfx950,256,488,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4858,4,11.6349,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0222,153.93,938.2
gfx950,256,496,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4858,4,12.0991,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0219,150.45,912.02
gfx950,256,504,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,12.2196,auto,0.0,151.37,912.75
gfx950,256,512,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,11.6612,auto,0.0,161.14,966.64
gfx950,256,520,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5197,4,13.0128,flydsl_gemm4_abf16_wbf16_bf16_t64x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0215,146.66,875.37
gfx950,256,528,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6063,4,12.7151,flydsl_gemm5_abf16_wbf16_bf16_t64x64x128_split_k4_block_m_warp2_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0136,152.4,905.2
gfx950,256,536,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5924,4,13.0965,flydsl_gemm5_abf16_wbf16_bf16_t48x64x64_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0139,150.2,887.91
gfx950,256,544,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6057,4,12.8256,flydsl_gemm5_abf16_wbf16_bf16_t64x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0215,155.66,915.93
gfx950,256,552,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3547,4,12.5201,flydsl_gemm3_abf16_wbf16_bf16_t48x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0139,161.81,947.76
gfx950,256,560,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5196,4,13.3251,flydsl_gemm4_abf16_wbf16_bf16_t64x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0139,154.24,899.42
gfx950,256,568,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5200,4,13.609,flydsl_gemm4_abf16_wbf16_bf16_t64x64x128_split_k4_block_m_warp2_block_n_warp1_block_k_warp4_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0294,153.18,889.39
gfx950,256,576,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7299,4,13.0705,flydsl_gemm8_abf16_wbf16_bf16_t48x64x64_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.014,161.73,935.12
gfx950,256,584,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7299,4,13.3111,flydsl_gemm8_abf16_wbf16_bf16_t48x64x64_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0137,161.02,927.14
gfx950,256,592,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5203,4,13.3021,flydsl_gemm4_abf16_wbf16_bf16_t64x64x128_split_k4_block_m_warp2_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0134,163.33,936.7
gfx950,256,600,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5196,4,13.1196,flydsl_gemm4_abf16_wbf16_bf16_t64x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0137,167.84,958.78
gfx950,256,608,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6056,4,13.8455,flydsl_gemm5_abf16_wbf16_bf16_t64x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0135,161.16,917.09
gfx950,256,616,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4964,4,13.6776,flydsl_gemm4_abf16_wbf16_bf16_t48x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0133,165.29,937.03
gfx950,256,624,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6066,4,14.0528,flydsl_gemm5_abf16_wbf16_bf16_t64x64x128_split_k4_block_m_warp4_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0138,162.96,920.47
gfx950,256,632,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5206,4,13.9051,flydsl_gemm4_abf16_wbf16_bf16_t64x64x128_split_k4_block_m_warp4_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0136,166.81,938.79
gfx950,256,640,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7356,4,14.0496,flydsl_gemm8_abf16_wbf16_bf16_t64x64x64_split_k4_block_m_warp4_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0137,167.18,937.59
gfx950,256,648,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,7298,4,13.5122,flydsl_gemm8_abf16_wbf16_bf16_t48x64x64_split_k4_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.021,176.0,983.67
gfx950,256,656,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3901,4,13.9271,flydsl_gemm3_abf16_wbf16_bf16_t64x64x128_split_k4_block_m_warp2_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0137,172.87,962.89
